image_index,num_custom_regions,num_cv_regions,num_original_cv_regions,avg_iou,median_iou,min_iou,misses,perfect_matches,avg_iou_rev,median_iou_rev,min_iou_rev,misses_rev,perfect_matches_rev
45,98,93,316,0.8846247794193858,0.9193971563652736,0.0,2,2,0.8785553192803739,0.9178082191780822,0.0,1,2
46,124,134,626,0.8326557049458326,0.8888157894736842,0.0,4,5,0.8120663842610201,0.8597197376267143,0.0,7,5
47,136,138,507,0.8707809036690458,0.9030692139054182,0.0,4,3,0.8682432700096715,0.8942990832696716,0.4494949494949495,1,3
48,66,80,463,0.8700400992212699,0.8989807062249727,0.0,1,5,0.8474524351366366,0.8758385590459945,0.4347477982385909,1,4
49,129,133,544,0.8642231934328335,0.9047619047619048,0.003189792663476874,4,6,0.8609325870092441,0.8977583378895572,0.0,2,6
50,59,67,645,0.811903146539803,0.8606741573033708,0.00398406374501992,3,0,0.8093864391685459,0.8398474737845567,0.09033078880407125,4,0
51,78,94,387,0.8887888363082863,0.9003105590062113,0.5985037406483791,0,3,0.8248056284785898,0.879928245270711,0.0,4,3
52,95,104,532,0.8617569875529603,0.8971428571428571,0.0,4,1,0.8552275835929688,0.8821589725789656,0.4745762711864407,2,1
53,64,69,512,0.8530677147679164,0.9098249329072787,0.013344553979321952,2,2,0.8264734856682857,0.8873239436619719,0.008337675872850442,2,2
54,70,70,332,0.8552160872145532,0.8901571393219501,0.010930576070901034,4,2,0.8556549810984423,0.8724406779661017,0.47058823529411764,2,2
55,51,61,334,0.8584311263269391,0.8866995073891626,0.0,1,2,0.8565064333329521,0.8609271523178808,0.549800796812749,0,2
56,19,25,171,0.8656166785927989,0.8650793650793651,0.6706948640483383,0,0,0.820649469672776,0.8452380952380952,0.641860465116279,0,0
57,133,131,474,0.8641956810833421,0.8922229026331905,0.12009237875288684,3,6,0.8554267615266792,0.896568871208354,0.0,3,6
58,52,56,211,0.8821834826636269,0.9131340698256284,0.4053235230469595,3,1,0.8495613097257746,0.9049384750604262,0.4053235230469595,1,1
59,118,126,463,0.877664225729911,0.8904407200496586,0.5370370370370371,0,3,0.8247713623315087,0.8861360025421037,0.0,7,3
60,51,56,207,0.8697047899972654,0.9047619047619048,0.0,3,2,0.8727658968367378,0.899787408431945,0.5704445835942392,0,2
61,55,56,198,0.8799017076358798,0.8997214484679665,0.43141852286049237,1,0,0.8808904292764712,0.8939965447739706,0.5476772616136919,0,0
62,95,107,365,0.8943132084187713,0.9062290689886136,0.5333333333333333,0,5,0.8646240544752618,0.8918918918918919,0.4164785553047404,1,5
63,173,181,681,0.880748832288121,0.9017857142857143,0.34678111587982835,2,8,0.8601681730635815,0.8925233644859814,0.0,4,8
64,93,99,741,0.8106999061154035,0.8575757575757575,0.0,5,1,0.7900853036159372,0.8459214501510574,0.008583690987124463,8,1
65,65,67,256,0.8300837091747308,0.8786127167630058,0.0,4,1,0.8527376573090852,0.8736842105263158,0.5381526104417671,0,1
66,51,61,334,0.8584311263269391,0.8866995073891626,0.0,1,2,0.8565064333329521,0.8609271523178808,0.549800796812749,0,2
67,124,126,505,0.8644432811275544,0.9033858391024675,0.006568974229408792,5,4,0.8435288945762397,0.8963315002149954,0.0,4,4
68,128,135,453,0.8918599469014081,0.9095185728250244,0.6291946308724832,0,4,0.8527448049038311,0.9012875536480687,0.0,5,4
69,124,135,509,0.868012977232803,0.8936160384331115,0.0,1,3,0.8292055234911229,0.8831168831168831,0.0,7,3
